Time	Voltage	Current	Temp.

2.000000e-002	-1.027180e-004	-1.435561e-001	2.979928e+002
4.000000e-002	-2.011778e-004	-1.379489e-001	2.995111e+002
6.000000e-002	-2.958128e-004	-1.328685e-001	3.009942e+002
8.000000e-002	-3.869955e-004	-1.282349e-001	3.024511e+002
1.000000e-001	-4.750457e-004	-1.239952e-001	3.038882e+002
1.200000e-001	-5.602458e-004	-1.201118e-001	3.053101e+002
1.400000e-001	-6.428502e-004	-1.165558e-001	3.067204e+002
1.600000e-001	-7.230911e-004	-1.133039e-001	3.081222e+002
1.800000e-001	-8.011838e-004	-1.103376e-001	3.095179e+002
2.000000e-001	-8.773300e-004	-1.076422e-001	3.109098e+002
2.200000e-001	-9.517218e-004	-1.052074e-001	3.122999e+002
2.400000e-001	-1.024546e-003	-1.030274e-001	3.136900e+002
2.600000e-001	-1.095986e-003	-1.011017e-001	3.150821e+002
2.800000e-001	-1.166231e-003	-9.943550e-002	3.164780e+002
3.000000e-001	-1.235475e-003	-9.804198e-002	3.178796e+002
3.200000e-001	-1.303931e-003	-9.694416e-002	3.192891e+002
3.400000e-001	-1.371836e-003	-9.617909e-002	3.207089e+002
3.600000e-001	-1.439467e-003	-9.580483e-002	3.221416e+002
3.800000e-001	-1.507166e-003	-9.591332e-002	3.235909e+002
4.000000e-001	-1.575384e-003	-9.665647e-002	3.250608e+002
4.200000e-001	-1.644760e-003	-9.830476e-002	3.265570e+002
4.400000e-001	-1.716318e-003	-1.014001e-001	3.280874e+002
4.600000e-001	-1.792002e-003	-1.072455e-001	3.296635e+002
4.800000e-001	-1.876617e-003	-1.198919e-001	3.313048e+002
5.000000e-001	-1.961399e-003	-1.206915e-001	3.326108e+002
5.200000e-001	-2.038895e-003	-1.110175e-001	3.334889e+002
5.400000e-001	-2.110143e-003	-1.025952e-001	3.340723e+002
5.600000e-001	-2.176108e-003	-9.537703e-002	3.344566e+002
5.800000e-001	-2.237668e-003	-8.930085e-002	3.347073e+002
6.000000e-001	-2.295591e-003	-8.424520e-002	3.348687e+002
6.200000e-001	-2.350528e-003	-8.006689e-002	3.349704e+002
6.400000e-001	-2.403017e-003	-7.662543e-002	3.350321e+002
6.600000e-001	-2.453499e-003	-7.379472e-002	3.350669e+002
6.800000e-001	-2.502336e-003	-7.146683e-002	3.350836e+002
7.000000e-001	-2.549824e-003	-6.955171e-002	3.350881e+002
7.200000e-001	-2.596203e-003	-6.797526e-002	3.350844e+002
7.400000e-001	-2.641671e-003	-6.667687e-002	3.350750e+002
7.600000e-001	-2.686388e-003	-6.560709e-002	3.350619e+002
7.800000e-001	-2.730487e-003	-6.472554e-002	3.350461e+002
8.000000e-001	-2.774079e-003	-6.399922e-002	3.350286e+002
8.200000e-001	-2.816239e-003	-6.192845e-002	3.350090e+002
8.400000e-001	-2.857460e-003	-6.056652e-002	3.349884e+002
8.600000e-001	-2.898072e-003	-5.968696e-002	3.349673e+002
8.800000e-001	-2.938291e-003	-5.911751e-002	3.349461e+002
9.000000e-001	-2.978257e-003	-5.874969e-002	3.349249e+002
9.200000e-001	-3.018059e-003	-5.851400e-002	3.349036e+002
9.400000e-001	-3.057758e-003	-5.836535e-002	3.348823e+002
9.600000e-001	-3.097395e-003	-5.827424e-002	3.348610e+002
9.800000e-001	-3.136994e-003	-5.822126e-002	3.348397e+002
1.000000e+000	-3.176574e-003	-5.819359e-002	3.348184e+002
